feature,importance
441,0.0013732944
282,0.0013719855
83,0.0013668437
270,0.0013523387
8,0.0013313487
14,0.0013313225
352,0.0013227197
138,0.0013166815
362,0.0013157107
560,0.0013084423
225,0.0013062431
168,0.0013006789
454,0.0012588033
104,0.0012570265
239,0.0012509846
316,0.0012502491
185,0.0012314466
162,0.0012297801
170,0.0011914052
115,0.0011877026
132,0.001180859
152,0.001177005
436,0.0011746294
423,0.0011714946
301,0.0011706937
496,0.0011502882
146,0.0011433249
155,0.0011415199
41,0.0011108475
319,0.0010998275
291,0.0010972442
79,0.0010970401
253,0.0010701304
135,0.0010524107
160,0.0010496917
75,0.0010368489
552,0.0010321363
391,0.0010314866
120,0.0010266784
23,0.0010177419
219,0.0010172633
18,0.001004606
444,0.0009853104
217,0.0009798408
175,0.00097355124
573,0.00097020424
467,0.00096708984
116,0.0009426261
456,0.0009406757
470,0.00091322436
307,0.0009087643
426,0.0008999885
421,0.00088744
87,0.0008868883
476,0.0008828853
570,0.0008769721
118,0.00086462754
163,0.0008644145
81,0.00086286577
417,0.00086220936
499,0.00086097204
108,0.0008138214
480,0.00080656575
48,0.00080132036
439,0.00079611526
82,0.00079352
324,0.00078539335
137,0.0007641985
286,0.0007599636
66,0.00075598323
221,0.0007492641
29,0.0007379566
60,0.000735886
47,0.0007306698
556,0.000724608
200,0.0007236226
133,0.00072359515
442,0.0007209322
45,0.00071937364
215,0.00071876805
393,0.0007128223
198,0.0007092767
279,0.0006938546
171,0.00068991835
585,0.0006787257
583,0.0006740069
558,0.0006736021
166,0.0006703671
216,0.0006699864
134,0.00066408946
491,0.00065787317
544,0.00064994604
254,0.0006274648
92,0.0006265454
222,0.0006191137
153,0.0006132134
368,0.00060339575
224,0.0005999826
50,0.0005996096
283,0.0005984943
208,0.000592882
136,0.0005900689
365,0.00058604905
273,0.0005857843
271,0.0005788745
567,0.00057692674
28,0.000576909
20,0.00057060405
562,0.0005654474
349,0.00055357296
474,0.00055253966
165,0.0005498483
46,0.0005479501
306,0.00051998254
277,0.00050605135
524,0.00050163566
80,0.0005006576
366,0.00049702637
452,0.0004968034
554,0.0004839442
304,0.00046446576
355,0.0004564619
386,0.00044921567
361,0.00044524705
561,0.0004448986
434,0.00044235215
455,0.00044183165
303,0.00043812918
495,0.00043769006
76,0.00042906974
405,0.0004222012
522,0.00041326002
497,0.0004127376
275,0.0004057545
34,0.00040318287
212,0.00040160163
447,0.0003979907
587,0.00039752762
541,0.00038737294
320,0.00038590177
62,0.00037132387
437,0.0003693735
6,0.00036828883
584,0.00036359995
61,0.00035678054
318,0.00034782576
344,0.000340836
335,0.00034059086
424,0.00033944738
566,0.00033178928
340,0.00032783573
565,0.0003240702
305,0.00031669808
443,0.00029414173
588,0.00029287185
527,0.00028836497
520,0.00028366508
485,0.00028002268
582,0.00027902692
420,0.00027650982
367,0.00027416847
459,0.00025867892
523,0.00025756727
350,0.00024142412
204,0.00023327707
568,0.00023016664
9,0.0002270321
494,0.00022651497
363,0.00022232077
128,0.000212969
107,0.00019337685
169,0.00019015934
290,0.00017207486
446,0.00017107427
181,0.00016985908
482,0.00016711417
11,0.00016558087
180,0.00016449366
308,0.00016375749
88,0.00015553946
493,0.00015107049
564,0.00014952561
457,0.00014142474
145,0.00011577592
448,0.00011042052
268,0.00010402664
184,9.733494e-05
288,8.2435174e-05
96,5.2785323e-05
411,5.097245e-05
151,1.082358e-05
478,0.0
249,0.0
337,0.0
540,0.0
521,0.0
309,0.0
218,0.0
296,0.0
409,0.0
78,0.0
575,0.0
353,0.0
255,0.0
351,0.0
342,0.0
267,0.0
347,0.0
545,0.0
206,0.0
548,0.0
549,0.0
209,0.0
105,0.0
387,0.0
74,0.0
428,0.0
25,0.0
174,0.0
427,0.0
238,0.0
