config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,F1_macro_mean,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,Time_s
14,50,4,0.1,0.8,1.0,0.5994492869973232,0.24822765469824293,0.027115565771432718,0.2314285714285714,0.0403611811436516,0.2747911584982523,0.21555105903415397,0.059815870600605385,0.7464698587836649,31.941365003585815
15,50,4,0.1,1.0,0.8,0.5942792457903924,0.2371695104828538,0.05095104657256352,0.22190476190476188,0.08,0.27887878787878784,0.24737395590572273,0.035448189922708345,0.7551148008878619,31.47490406036377
16,50,4,0.1,1.0,1.0,0.5910645928476187,0.23002082201103008,0.05676854722038057,0.21238095238095234,0.08033941603414531,0.30564029959810013,0.21565495908210547,0.028602826596808663,0.7459710932856007,31.745740175247192
17,50,5,0.05,0.8,0.8,0.5920096121769889,0.23481250238668042,0.07124966241791095,0.22238095238095235,0.0824181033764569,0.2791096097732253,0.22325963137733496,0.05795366115214745,0.7429020925308738,32.62219023704529
18,50,5,0.05,0.8,1.0,0.5715235523583171,0.19835321805230438,0.039701575831146835,0.19285714285714284,0.0454256762579498,0.211488663841605,0.21491480582503186,0.03254375362830245,0.7235527830282142,32.734220027923584
19,50,5,0.05,1.0,0.8,0.587374157698273,0.22764032531474393,0.0378185452630956,0.2219047619047619,0.05264866651842001,0.24329710144927538,0.22259014973098412,0.052072629296341925,0.7344015058919917,31.7028169631958
20,50,5,0.05,1.0,1.0,0.5760713717434234,0.20675694838343733,0.03631305936280446,0.20285714285714285,0.05195497789327945,0.21944664031620556,0.19008519567394452,0.0304327529646053,0.7187184779003004,32.16894507408142
21,50,5,0.1,0.8,0.8,0.5920929081643285,0.2248423145481969,0.07006824439032797,0.17333333333333328,0.06526415885337834,0.34293706293706294,0.2291709220843689,0.03910165531075179,0.7534823863623713,31.99206280708313
22,50,5,0.1,0.8,1.0,0.5640537011665769,0.17573277050473934,0.0342771249396,0.14476190476190473,0.03321065861745275,0.23833333333333334,0.21921412031959703,0.03453345290860922,0.745413530319323,32.1154990196228
23,50,5,0.1,1.0,0.8,0.5777371275634087,0.20032233914586856,0.045258458658659996,0.1638095238095238,0.04981598792617913,0.2753205128205128,0.21489640390085887,0.04130403226282901,0.7494313944194724,32.738548040390015
24,50,5,0.1,1.0,1.0,0.5856188011772289,0.21472732169790992,0.04310612945246404,0.1738095238095238,0.05194624816493198,0.3271950271950272,0.21713336420784426,0.040983703932805954,0.7533885686679178,33.051538944244385
25,100,3,0.05,0.8,0.8,0.5869959052458915,0.23021401497389987,0.06025442595954555,0.2419047619047619,0.086577662303722,0.22891941391941395,0.22037144296943278,0.041635361151515574,0.7396016644069381,31.211310863494873
26,100,3,0.05,0.8,1.0,0.5847132055311703,0.22708699655472825,0.03555960011987745,0.24095238095238095,0.055007729821690096,0.21982799808886763,0.22359540739179934,0.03896615205606793,0.7373136169236969,31.320487022399902
27,100,3,0.05,1.0,0.8,0.5966000285431008,0.25135798710744484,0.05965454541120648,0.28047619047619043,0.09486115883638738,0.23243344890403717,0.21903348575215328,0.036986009240812474,0.7405015038882915,32.222815990448
