feature,importance
546,0.0017820472
294,0.0017532744
291,0.0017467176
303,0.0017289415
21,0.0017151767
213,0.0017144523
170,0.0017104825
389,0.0016933362
162,0.0016814594
446,0.0016705991
98,0.001661217
86,0.0016503672
491,0.0016484965
116,0.0016365815
471,0.0016323454
365,0.0016141273
142,0.001589346
195,0.0015645442
24,0.0015413857
81,0.0015411506
166,0.0015404413
525,0.0015391874
23,0.0015251287
169,0.0014828698
316,0.0014802734
287,0.0014756235
485,0.0014638862
571,0.0014573103
26,0.0014572697
18,0.0014471788
82,0.0014421048
361,0.0014382312
71,0.0014231015
583,0.0014206817
76,0.0014181257
217,0.0014140684
566,0.0014139428
83,0.0013830625
588,0.0013637162
11,0.0013185744
219,0.0013003807
153,0.0012862441
136,0.0012780702
319,0.0012779766
184,0.0012748134
122,0.0012722408
360,0.0012620788
120,0.0012594244
334,0.0012523627
482,0.0012489234
35,0.0012451266
84,0.0012326008
565,0.00123184
75,0.0012295651
295,0.0012263891
147,0.0012174547
180,0.001191391
388,0.0011786154
551,0.0011732338
417,0.0011658516
368,0.0011619622
567,0.0011592361
113,0.0011565754
407,0.0011395841
199,0.0011387017
568,0.0011366832
6,0.001125108
171,0.0011224245
57,0.0011143616
150,0.0011068784
28,0.0011029142
132,0.0010963997
155,0.0010764899
148,0.0010671702
48,0.0010550437
304,0.0010526658
344,0.0010504327
273,0.0010495608
79,0.0010487206
562,0.0010445619
416,0.0010443196
561,0.0010324285
154,0.0010262985
46,0.0010244431
418,0.0010200302
161,0.0010185798
156,0.00101484
285,0.0010135563
447,0.0010089275
349,0.0009932576
557,0.0009925425
9,0.0009914137
214,0.0009803517
175,0.0009768518
117,0.00097235414
423,0.00095905876
484,0.00093656103
40,0.0009319771
54,0.0009309921
587,0.0009272481
165,0.0009246036
324,0.0009185899
497,0.0009130123
426,0.00090290414
61,0.00087691087
212,0.0008733561
415,0.0008694622
45,0.00085975486
204,0.00085879775
340,0.000852986
47,0.00084659347
429,0.00084503804
335,0.0008444641
585,0.0008436659
362,0.00083256786
584,0.00082766946
431,0.0008041109
66,0.00079391536
268,0.0007923593
224,0.00078231876
12,0.00076141144
89,0.00075144734
168,0.0007502813
87,0.0007473438
354,0.00073157204
526,0.00071304623
210,0.0007079565
524,0.0007070417
570,0.0006776245
173,0.00067706837
496,0.00067673397
542,0.0006731083
271,0.0006690815
208,0.0006657441
575,0.0006631138
135,0.00066219096
78,0.00064654596
522,0.0006386202
552,0.000623202
62,0.000617309
523,0.0006139582
411,0.0006131241
50,0.0006062499
248,0.0006061534
133,0.0006005628
60,0.00059968315
222,0.0005994872
348,0.00059642206
8,0.0005898173
299,0.0005876333
350,0.0005871741
164,0.0005812041
118,0.00057612767
366,0.0005655978
29,0.0005590875
228,0.00055638835
305,0.0005502137
269,0.000549963
424,0.0005475937
296,0.0005469758
196,0.00050472503
459,0.00050439034
92,0.000483782
472,0.00048306922
203,0.00048037717
80,0.00047677042
555,0.00046736427
339,0.00046257564
549,0.000460204
490,0.00045560475
408,0.00043820927
543,0.00043226892
306,0.00042906756
456,0.00042631038
589,0.00042540213
198,0.0004205673
367,0.00041323566
41,0.0004003838
145,0.00038068776
277,0.0003684145
548,0.00036657983
320,0.00036502501
4,0.00035419874
160,0.000350086
336,0.00034680392
359,0.00034658497
441,0.0003362263
494,0.0003253078
453,0.00031987485
435,0.000319466
290,0.00031359677
288,0.00031061695
185,0.0003093716
218,0.00030302067
96,0.00030262247
432,0.00029030128
250,0.0002841972
479,0.00028126725
582,0.00024711346
311,0.00024443786
474,0.00024140446
442,0.00024044103
177,0.00023724916
25,0.00023656429
405,0.00023571828
413,0.00023434627
577,0.00023255107
352,0.00021713335
207,0.00021606522
105,0.00021355048
134,0.00021277761
467,0.00020406932
27,0.00019954803
476,0.00019224318
470,0.00019101547
223,0.00018317602
427,0.00017378016
88,0.00017141593
337,0.00017056165
572,0.00017010693
493,0.00016803184
221,0.00015422313
283,0.00015334315
421,0.00012807922
321,0.00011690117
182,9.906968e-05
495,9.0775204e-05
215,7.117074e-05
363,5.431419e-05
439,5.2543353e-05
455,1.9111434e-05
541,1.7768843e-05
128,1.6273338e-05
227,1.2870792e-06
74,0.0
174,0.0
206,0.0
478,0.0
387,0.0
420,0.0
36,0.0
209,0.0
574,0.0
444,0.0
409,0.0
448,0.0
318,0.0
249,0.0
521,0.0
253,0.0
564,0.0
267,0.0
353,0.0
347,0.0
